지역별,재질별,발생량
수도권,하우스용 LDPE,7776
수도권,멀칭용 LDPE,11234
수도권,HDPE,14922
수도권,"기타(PVC,EVA등)",2413
수도권,플라스틱,2317105
수도권,"은박지,종이봉지",838102
강원,하우스용 LDPE,2965
강원,멀칭용 LDPE,1796
강원,HDPE,19080
강원,"기타(PVC,EVA등)",145
강원,플라스틱,3350726
강원,"은박지,종이봉지",1467758
충북,하우스용 LDPE,2158
충북,멀칭용 LDPE,6169
충북,HDPE,15452
충북,"기타(PVC,EVA등)",359
충북,플라스틱,3830284
충북,"은박지,종이봉지",834309
충남,하우스용 LDPE,8175
충남,멀칭용 LDPE,12532
충남,HDPE,13416
충남,"기타(PVC,EVA등)",1204
충남,플라스틱,7447018
충남,"은박지,종이봉지",3057674
전북,하우스용 LDPE,4045
전북,멀칭용 LDPE,30831
전북,HDPE,327
전북,"기타(PVC,EVA등)",714
전북,플라스틱,4999588
전북,"은박지,종이봉지",2925220
전남,하우스용 LDPE,5824
전남,멀칭용 LDPE,38977
전남,HDPE,1766
전남,"기타(PVC,EVA등)",579
전남,플라스틱,9991813
전남,"은박지,종이봉지",3114920
경북,하우스용 LDPE,10580
경북,멀칭용 LDPE,23301
경북,HDPE,10647
경북,"기타(PVC,EVA등)",4521
경북,플라스틱,9007015
경북,"은박지,종이봉지",2044520
경남,하우스용 LDPE,9543
경남,멀칭용 LDPE,31582
경남,HDPE,104
경남,"기타(PVC,EVA등)",3523
경남,플라스틱,5958039
경남,"은박지,종이봉지",2542418
제주,하우스용 LDPE,2523
제주,멀칭용 LDPE,0
제주,HDPE,5802
제주,"기타(PVC,EVA등)",2172
제주,플라스틱,4220208
제주,"은박지,종이봉지",2445322
